"id","tourn_id","date","teamA","scoreA","scoreB","teamB","et","sc","w","l","d","dA","dB"
"finals","wc_1958","1958-06-19  ","Germany",1,0,"Serbia/Yugoslavia",0,NA,"Germany","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1958","1958-06-19  ","France",4,0,"Northern Ireland",0,NA,"France","Northern Ireland",FALSE,NA,NA
"finals","wc_1958","1958-06-19  ","Brazil",1,0,"Wales",0,NA,"Brazil","Wales",FALSE,NA,NA
"finals","wc_1958","1958-06-24  ","Brazil",5,2,"France",0,NA,"Brazil","France",FALSE,NA,NA
"finals","wc_1958","1958-06-24  ","Sweden",3,1,"Germany",0,NA,"Sweden","Germany",FALSE,NA,NA
"finals","wc_1958","1958-06-28  ","France",6,3,"Germany",0,NA,"France","Germany",FALSE,NA,NA
"finals","wc_1958","  1958-06-29","Brazil",5,2,"Sweden",0,NA,"Brazil","Sweden",FALSE,NA,NA
"finals","wc_1962","1962-05-30  ","Uruguay",2,1,"Colombia",0,NA,"Uruguay","Colombia",FALSE,NA,NA
"finals","wc_1962","1962-05-31  ","Russia/USSR",2,0,"Serbia/Yugoslavia",0,NA,"Russia/USSR","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1962","1962-06-02  ","Uruguay",1,3,"Serbia/Yugoslavia",0,NA,"Serbia/Yugoslavia","Uruguay",FALSE,NA,NA
"finals","wc_1962","1962-06-03  ","Colombia",4,4,"Russia/USSR",0,NA,"Draw","Draw",TRUE,"Colombia","Russia/USSR"
"finals","wc_1962","1962-06-06  ","Uruguay",1,2,"Russia/USSR",0,NA,"Russia/USSR","Uruguay",FALSE,NA,NA
"finals","wc_1962","1962-06-07  ","Colombia",0,5,"Serbia/Yugoslavia",0,NA,"Serbia/Yugoslavia","Colombia",FALSE,NA,NA
"finals","wc_1962","1962-05-30  ","Chile",3,1,"Switzerland",0,NA,"Chile","Switzerland",FALSE,NA,NA
"finals","wc_1962","1962-05-31  ","Italy",0,0,"Germany",0,NA,"Draw","Draw",TRUE,"Italy","Germany"
"finals","wc_1962","1962-06-02  ","Chile",2,0,"Italy",0,NA,"Chile","Italy",FALSE,NA,NA
